NONE,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,else,while,comp,return,$,CODE,CODE_BLOCK,VDECL,vdecl_tail,ASSIGN,RHS,EXPR,TERM,FACTOR,FDECL,ARG,ARG_LIST,BLOCK,STMT,IF_STMT,ELSE_STMT,WHILE_STMT,COND,RETURN
61,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,69
64,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,71,,,
66,,,,,,,,,,,,,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,
67,,s9,r6,,,,,,,,,,,,,,,,,,,,,,21,23,,,,,,,,,,,,,,
68,r34,r34,,,,,,,,,,,,r34,,r34,,r34,,r34,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,s73,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,s32,,,s26,s27,s28,,,s31,,s33,,,,,,,,,,,,,,,74,25,29,30,,,,,,,,,,
71,r31,r31,,,,,,,,,,,,r31,,r31,,r31,,r31,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,s76,,,s75,,,,,,,,,,,,,,,,,,,,,,,,
73,r20,r20,,,,,,,,,,,,,,r20,,r20,,,,,,,,,,,,,,,,,,,,,,
74,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,s61,s9,,,,,,,,,,,,r26,,s10,,s11,,r26,,,,60,,6,,,,,,,,79,59,7,,8,,
77,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,s32,,,,,s36,,,s31,,s33,,,,,,,,,,,,,,,,35,29,30,,,,,,,,,80,
79,,,,,,,,,,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,r33,r33,,,,,,,,,,,,r33,,r33,,r33,,r33,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,s61,s9,,,,,,,,,,,,r26,,s10,,s11,,r26,,,,60,,6,,,,,,,,84,59,7,,8,,
84,,,,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,86,,,
86,r32,r32,,,,,,,,,,,,r32,,r32,,r32,,r32,,,,,,,,,,,,,,,,,,,,
